time,oil,ore,uranium,diamonds,rivalium
2020-10-17 18:51:51,218,203,2194,1499000,156000
2020-10-17 19:02:03,222,202,2193,1500000,159996
2020-10-17 19:13:02,212,201,2189,1500000,159992
2020-10-17 19:23:13,212,200,2186,1500000,154999
2020-10-17 19:33:26,214,201,2186,1500000,153879
2020-10-17 19:43:37,220,202,2183,1490000,153000
2020-10-17 19:53:50,228,203,2217,1500000,153870
2020-10-17 20:04:03,225,203,2212,1499000,159995
2020-10-17 20:14:33,218,202,2208,1499000,158765
2020-10-17 20:34:36,220,203,2198,1497000,159555
2020-10-17 20:40:11,222,202,2198,1497000,159000
2020-10-17 23:09:56,217,200,2247,1479000,150000
2020-10-17 23:15:21,221,200,2247,1480000,150000
2020-10-17 23:25:42,215,200,2247,1490000,140000
2020-10-17 23:35:53,215,203,2199,1490000,155000
2020-10-17 23:46:05,215,201,2239,1500000,147897
2020-10-17 23:56:17,215,200,2237,1500000,150000
2020-10-18 00:06:31,213,203,2222,1490990,147000
2020-10-18 00:17:01,215,203,2219,1500000,149000
2020-10-18 00:27:13,215,200,2249,1480000,145000
2020-10-18 00:37:25,205,202,2247,1480000,144999
2020-10-18 00:47:37,210,202,2244,1500000,143900
2020-10-18 03:44:43,214,204,2180,1500000,144400
2020-10-18 03:54:56,214,205,2180,1500000,140000
2020-10-18 04:05:09,212,204,2180,1500000,141000
2020-10-18 04:15:21,214,200,2170,1500000,148999
2020-10-18 04:25:35,215,200,2169,1500000,144999
2020-10-18 04:35:47,215,201,2169,1499000,143000
2020-10-18 04:46:19,210,200,2167,1496000,142998
2020-10-18 04:56:32,214,204,2167,1498000,142997
2020-10-18 05:06:45,208,204,2168,1498000,142997
2020-10-18 05:16:58,215,203,2168,1490000,142996
2020-10-18 05:27:11,213,203,2168,1489000,142995
2020-10-18 05:37:23,213,202,2168,1487000,141997
2020-10-18 05:47:52,215,202,2168,1490000,141996
2020-10-18 05:58:06,216,204,2168,1499000,150994
2020-10-18 06:08:19,210,205,2200,1490000,150993
2020-10-18 06:18:31,212,204,2200,1490060,150992
2020-10-18 06:28:44,214,204,2200,1490060,150990
2020-10-18 06:38:57,216,203,2200,1499000,150989
2020-10-18 06:49:29,220,200,2199,1344990,150988
2020-10-18 06:59:41,215,200,2199,1500000,150994
2020-10-18 07:09:54,218,204,2199,1500000,150992
2020-10-18 07:20:07,217,202,2197,1500000,150000
2020-10-18 07:30:19,214,202,2198,1450000,142000
2020-10-18 07:40:31,212,202,2197,1500000,145000
2020-10-18 07:51:02,213,201,2197,1500000,145000
2020-10-18 08:01:15,213,203,2197,1500000,149999
2020-10-18 08:11:27,214,202,2196,1499000,162000
2020-10-18 08:21:40,215,202,2220,1499000,150000
2020-10-18 08:31:53,214,202,2219,1499000,161000
2020-10-18 08:42:12,217,200,2220,1498000,160700
2020-10-18 08:52:44,214,201,2220,1499000,158000
2020-10-18 12:07:33,216,204,2247,1500000,152999
2020-10-18 12:18:17,220,204,2247,1500000,152998
2020-10-18 12:20:15,220,204,2247,1500000,152997
2020-10-18 12:30:32,218,205,2247,1500000,152998
2020-10-18 12:40:44,220,204,2247,1500000,152000
2020-10-18 12:50:57,215,203,2247,1500000,152000
