time,oil,ore,uranium,diamonds,helium-3,rivalium,tanks,aircrafts,missiles,bombers,laser drones
2020-12-15 22:25:06,244,228,2195,1495500,804998,110000,9994,59995,400000,607994,251999000
2020-12-15 22:35:08,247,228,2190,1495500,806975,112999,9996,59995,400000,607994,251999000
2020-12-15 22:45:16,247,225,2188,1495500,806975,117000,9993,59995,400000,607994,251999000
2020-12-15 22:55:17,240,227,2185,1495500,806975,117000,9996,59995,400000,607994,251999000
2020-12-15 23:05:17,243,227,2178,1495000,806975,116000,10244,59995,400000,607994,251999000
2020-12-15 23:15:35,243,225,2174,1490000,810999,116000,10999,59995,400649,607994,251999000
2020-12-15 23:25:38,249,220,2171,1490000,810999,117000,10996,59996,400650,600000,251999000
2020-12-15 23:35:40,250,230,2168,1490000,810999,117000,10099,59990,400650,607994,251999000
2020-12-15 23:45:51,250,230,2164,1494900,810999,118999,10093,59989,400650,607989,251999000
2020-12-15 23:55:51,249,230,2149,1495000,809999,118999,10092,59989,400649,607988,251999000
2020-12-16 00:05:53,247,228,2149,1494990,820700,115000,10089,59989,400649,607988,251999000
2020-12-16 00:15:44,248,229,2149,1494990,819999,118999,10086,59989,400649,607988,251999000
2020-12-16 00:25:50,245,230,2148,1494000,818000,124000,10087,59998,400649,607988,251999000
2020-12-16 00:35:57,249,229,2146,1494990,818000,124000,10085,59997,400649,607988,251998000
2020-12-16 00:46:06,246,229,2138,1495500,810000,112999,10083,59997,400649,607988,251998000
2020-12-16 00:56:08,239,229,2136,1490000,810000,112999,10083,59997,400649,607989,251998000
2020-12-16 01:06:11,247,230,2135,1490000,810000,120000,10088,59997,400649,607989,251998000
2020-12-16 08:53:12,249,227,2100,1495000,810000,110000,9916,59587,399989,602999,254999000
2020-12-16 09:02:41,247,227,2097,1494000,809000,110000,9923,59587,399989,602999,254999000
2020-12-16 09:12:36,248,226,2095,1490480,808500,110000,9923,59587,399989,602999,254999000
2020-12-16 09:33:37,243,225,2195,1490490,808490,110000,9921,59587,399989,602999,254999000
2020-12-16 09:43:34,241,224,2179,1490490,808299,110000,9917,59587,399989,602999,254999000
2020-12-16 09:53:32,240,225,2177,1495000,1495000,110000,9922,59587,399989,602999,254999000
2020-12-16 10:03:33,250,225,2175,1500000,808298,110000,9924,59587,399989,602999,254999000
2020-12-16 10:13:27,249,225,2167,1500000,808298,110000,9924,59587,399989,602999,254999000
2020-12-16 10:23:23,250,230,2166,1500000,808298,109000,9924,59587,399989,602999,254998000
2020-12-16 10:33:36,245,230,2164,1500000,808298,109000,9924,55000,399989,602999,254998000
2020-12-16 10:43:31,244,224,2162,1500000,808298,109000,9900,55000,399989,602999,254998000
2020-12-16 10:53:27,250,229,2198,1500000,808000,110000,9900,55000,399989,603000,254998000
2020-12-16 11:03:39,249,229,2196,1500000,807000,120000,9000,50000,399989,602999,254900000
2020-12-16 11:13:36,249,225,2189,1500000,807000,120000,9000,50000,399989,602999,254900000
2020-12-16 11:23:33,248,225,2188,1500000,807000,120000,9900,50000,399989,602999,254900000
2020-12-16 11:33:49,248,226,2186,1500000,807000,120000,9949,50000,399989,602999,254900000
2020-12-16 11:43:51,248,226,2184,1500000,807000,120000,9949,59587,399989,602999,254900000
2020-12-16 11:53:48,248,224,2182,1500000,800000,120000,9949,59587,399989,603000,254900000
2020-12-16 12:03:53,248,225,2180,1500000,807000,119000,9983,59587,399989,602999,254900000
2020-12-16 12:13:50,247,225,2178,1495500,807000,119000,9982,59587,399989,602999,254998000
2020-12-16 12:23:45,248,225,2176,1495500,806000,119000,9982,59587,399989,602999,254998000
2020-12-16 12:34:02,248,223,2187,1500000,806000,119000,9982,59587,399989,602999,254998000
2020-12-16 12:44:00,246,225,2185,1500000,806500,119000,9983,59587,399989,602999,254998000
2020-12-16 12:53:55,247,224,2183,1500000,806500,119000,9949,59587,399989,602999,254998000
2020-12-16 13:04:00,247,224,2169,1500000,806500,120000,9949,59587,399989,602999,254998000
2020-12-16 13:13:58,250,224,2167,1505000,806500,120000,9949,59587,399989,602999,254998000
2020-12-16 13:23:53,249,229,2165,1505000,806500,120000,9949,59587,399989,604874,254998000
2020-12-16 13:34:06,248,234,2162,1505000,808298,117000,9949,59587,399989,604999,254998000
2020-12-16 13:44:05,248,233,2160,1505000,808290,117000,9949,59587,399989,604999,254998000
